timestamp,bid_price1,bid_qty1,bid_price2,bid_qty2,bid_price3,bid_qty3,bid_price4,bid_qty4,bid_price5,bid_qty5,bid_price6,bid_qty6,bid_price7,bid_qty7,bid_price8,bid_qty8,bid_price9,bid_qty9,bid_price10,bid_qty10,ask_price1,ask_qty1,ask_price2,ask_qty2,ask_price3,ask_qty3,ask_price4,ask_qty4,ask_price5,ask_qty5,ask_price6,ask_qty6,ask_price7,ask_qty7,ask_price8,ask_qty8,ask_price9,ask_qty9,ask_price10,ask_qty10
1741430399096,86135.93000000,0.93352000,86135.88000000,0.00014000,86135.87000000,0.00014000,86135.85000000,0.00014000,86134.02000000,0.00020000,86134.01000000,0.04622000,86133.10000000,0.00100000,86129.06000000,0.25182000,86127.88000000,0.00010000,86126.88000000,0.76637000,86135.94000000,2.47515000,86135.96000000,0.00012000,86135.98000000,0.40382000,86136.00000000,0.01412000,86137.63000000,0.00006000,86138.00000000,0.01400000,86138.19000000,0.00006000,86138.90000000,0.00100000,86139.69000000,0.66300000,86139.70000000,0.58063000
1741430400020,86135.93000000,0.93099000,86135.88000000,0.00027000,86135.86000000,0.00013000,86135.69000000,0.00008000,86134.02000000,0.00020000,86134.01000000,0.04622000,86133.10000000,0.00100000,86130.65000000,0.01009000,86130.19000000,0.25415000,86127.88000000,0.00010000,86135.94000000,2.13977000,86135.96000000,0.00012000,86135.98000000,0.40382000,86136.00000000,0.01412000,86137.63000000,0.00006000,86137.64000000,0.02321000,86138.00000000,0.01400000,86138.19000000,0.00006000,86138.90000000,0.00100000,86139.69000000,0.66300000
1741430401041,86135.93000000,2.53116000,86135.89000000,0.00013000,86135.87000000,0.00013000,86135.84000000,0.00013000,86135.69000000,0.00008000,86134.02000000,0.00020000,86134.01000000,0.04622000,86133.10000000,0.00100000,86130.86000000,0.76633000,86130.19000000,0.25415000,86135.94000000,1.57498000,86135.96000000,0.00012000,86135.98000000,0.40382000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00012000,86137.63000000,0.00006000,86137.64000000,0.02321000,86138.00000000,0.01400000,86138.19000000,0.00006000
1741430401958,86135.93000000,1.10931000,86135.91000000,0.00014000,86135.90000000,0.00183000,86135.88000000,0.00014000,86135.74000000,0.00053000,86135.73000000,0.05681000,86135.69000000,0.00008000,86134.96000000,0.00027000,86134.27000000,0.00030000,86134.01000000,0.00007000,86135.94000000,1.82760000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.64000000,0.02321000
1741430402990,86135.93000000,1.05194000,86135.91000000,0.00014000,86135.90000000,0.00156000,86135.87000000,0.00014000,86135.85000000,0.00014000,86135.74000000,0.00039000,86134.96000000,0.00041000,86134.46000000,0.00008000,86134.27000000,0.00030000,86134.02000000,0.00014000,86135.94000000,2.94101000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.80000000,0.08545000,86136.82000000,0.00006000
1741430404014,86135.93000000,0.85427000,86135.91000000,0.00013000,86135.90000000,0.00156000,86135.74000000,0.00039000,86135.38000000,0.00008000,86134.96000000,0.00041000,86134.27000000,0.00030000,86134.02000000,0.00020000,86134.01000000,0.04654000,86133.10000000,0.00100000,86135.94000000,1.88615000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.64000000,0.02321000
1741430404935,86135.93000000,0.85403000,86135.91000000,0.00014000,86135.90000000,0.00156000,86135.88000000,0.00014000,86135.86000000,0.00013000,86135.74000000,0.00039000,86135.38000000,0.00008000,86134.96000000,0.00041000,86134.27000000,0.00030000,86134.02000000,0.00020000,86135.94000000,1.88571000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.64000000,0.02321000
1741430405969,86135.93000000,2.08211000,86135.91000000,0.00014000,86135.90000000,0.00156000,86135.74000000,0.00039000,86135.38000000,0.00008000,86134.96000000,0.00041000,86134.27000000,0.00030000,86134.02000000,0.00020000,86134.01000000,0.04654000,86132.51000000,0.00025000,86135.94000000,1.16896000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20278000,86135.99000000,0.00020000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.64000000,0.02321000
1741430406985,86135.93000000,1.63206000,86135.91000000,0.00014000,86135.90000000,0.00156000,86135.74000000,0.00039000,86135.38000000,0.00008000,86134.96000000,0.00041000,86134.27000000,0.00030000,86134.02000000,0.00020000,86134.01000000,0.04654000,86132.51000000,0.00025000,86135.94000000,1.42487000,86135.95000000,0.00012000,86135.96000000,0.00039000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.64000000,0.02321000
1741430408020,86135.93000000,1.36338000,86135.91000000,0.00014000,86135.90000000,0.00170000,86135.88000000,0.00013000,86135.78000000,0.00052000,86135.77000000,0.46950000,86135.38000000,0.00008000,86134.96000000,0.00027000,86134.27000000,0.00016000,86134.01000000,0.04654000,86135.94000000,2.22987000,86135.95000000,0.00012000,86135.96000000,0.00012000,86135.97000000,0.00026000,86135.98000000,0.20265000,86135.99000000,0.00006000,86136.00000000,0.01406000,86136.01000000,0.00006000,86136.82000000,0.00006000,86137.06000000,0.02000000
